type,question,answer
判断题,"管道压浆前,事先对采用的压浆料进行试配。水泥、高效减水剂、微膨胀剂、矿物掺合料、水等各种材料的称量准确到±2% 。（   ）",B
判断题,各类砂浆均宜采用机械拌和，拌和时间宜为3～5min。（   ）,A
判断题,压入管道的浆液采用搅拌速度不低于1000r/min的高速搅拌设备进行搅拌，浆叶最高速线速度限制在15m/s以内，保证浆液各项指标满足设计和压浆工艺要求，保证管道饱满密实。（   ）,A
判断题,两焊接接头在钢筋直径的35倍且小于500mm范围内均视为“同一截面”。(   ),A
判断题,水泥混凝土流动性大说明其和易性好,B
判断题,"在土质一定的条件下,含水率是影响击实效果的唯一因素",B
判断题,混凝土碳化主要危害是导致钢筋锈蚀,A
判断题,土的含水率是指土中水的质量与土体试样质量之比,B
判断题,细骨料泥块量时试样都需泡水24小时,A
判断题,试验机开机前的指针即使在零点时，不须进行调整，即可试验,B
判断题,5.4m长弯沉仪前后臂分别为3.6m和1.8m,A
判断题,对于大坍落度要求检测的扩展度，是指混凝土坍落后形成的最大直径尺寸和与之垂直方向测得的直径之和的平均值,B
判断题,水泥胶砂用标准砂必须满足规定的细度模数要求,B
判断题,水泥胶砂试件成型时向搅拌机中加料的顺序为水泥、水、砂,B
判断题,水灰比越大，普通混凝土的强度越大,B
判断题,原材料经监理平行试验定为不合格品，施工单位可申诉，但不能申请进行第三方试验,B
判断题,混凝土中掺入粉煤灰可以节约水泥，但不能改善混凝土的其他性能,B
判断题,试砼件抗压都是以三个抗压值的算术值作为其强度值,B
判断题,做安定性试验时、试饼法可做为有争议时判定试验,B
判断题,两种砂子的细度模数相同，它们的级配不一定相同,A
判断题,在结构尺寸及施工条件允许下，应尽可能选择较大粒径的粗骨料，这样可以节约水泥,A
判断题,土工织物是柔性材料，主要通过抗拉能力来受荷载以发挥其工程作用,A
判断题,水泥比表面积测定的环境条件是：湿度不大于50%,A
判断题,混凝土中的水泥用量越大，其质量就越好,B
判断题,水泥混凝土流动性大说明其和易性好,B
判断题,流动性大的混凝土比流动性小的混凝土的强度低,B
判断题,钢筋牌号HRB400中400指钢筋的极限强度,B
判断题,混凝土立方体抗压强度试验的标准养护条件为：温度20℃±2℃，相对湿度90%以上,B
判断题,钻芯法芯样经加工后，高度应为0.90～1.10d(d为芯样平均直径),B
判断题,钻芯法可用于任何强度等级的混凝土强度的检测,B
判断题,细骨料和粗骨料取样的代表数量都按不超过400m³或600t为一个批次进行抽检,A
判断题,水泥检测都要求有3天和28天的抗压、抗折强度,A
判断题,减水率是指掺用外加剂混凝土的用水量与不掺外加剂混凝土的用水量的比值,B
单选题,路面渗水系数宜在（）测定。,A
单选题,填补旧沥青路面，凹坑应按高程控制、分层铺筑，每层最大厚度不宜超过（）。,D
单选题,城镇道路工程在面层混凝土板在达到设计强度的     以后，方可允许行人通行。（ ）,A
单选题,正常情况下，混凝土的水灰比越大，其强度  （  ）,B
单选题,厚大体积混凝土工程适宜选用（  ）,B
单选题,对于路基基层碾压要掌握（）的原则。,B
单选题,水泥混凝土路面是以（）为控制指标。,B
单选题,正常施工情况下引起桥头跳车的直接原因是（）。,A
单选题,砂垫层横坡施工允许偏差（） 。,A
单选题,基床以下路堤填筑应按“三阶段、  （）区段、八流程”的施工工艺组织施工。,B
单选题,基床底层填筑采用砂类土和改良细粒土填筑时，分层的最大压实厚度不应大于（  ）cm。,A
单选题,既能改善混凝土拌合物流变性能，又能改善混凝土耐久性的外加剂是（  ）。,A
单选题,路基试验段位置应选择在地质条件、断面形式均具有代表性的地段，长度不宜小于（  ） m。,A
单选题,低温施工路堤填筑应按横断面全宽分层填筑，铺土厚度应减薄（）,D
单选题,如果出现承包人与业主签定的合同文件的技术要求比现行施工规范要求的精度高，应按（  ）执行。,A
单选题,为保证管道中充满灰浆，在关闭出浆口后，应保持小于0.5Mpa的稳压期，该稳压期不宜小于（  ）,D
单选题,使用不同填料填筑时，各种填料不得混杂填筑，每水平层的全宽应采用同（  ）填料。,A
单选题,当需要进行钢筋代换时，应办理（  ）变更文件,C
单选题,混凝土浇筑前施工单位应填报浇筑申请单，并经（  ）单位签认。,B
单选题,混凝土输送泵管垂直向上输送混凝土时，地面水平输送泵管的直管和弯管总的折算长度不宜小于垂直输送高度的20%，且不宜小于（）m。,C
单选题,渗水土填在非渗水土上时，（  ）上层面应设向两侧4%的横向排水坡。,B
单选题,基床底层填筑采用砂类土和改良细粒土填筑时，分层的最大压实厚度不应大于（  ）cm。,A
单选题,路堑的      开挖适用于平缓横坡上的一般路堑，用挖装、车运机具施工；较深路堑宜分层开挖。（   ）,B
单选题,（  ）路段可以不需要进行试验路段施工。,D
单选题,根据《混凝土结构工程施工质量验收规范》（GB50204）规定。检验批中的一般项目，其质量经抽样检验应合格;当采用计数检验时，除有专门要求外，合格点率应达到（  ）以及上，且不得有严重缺陷。,C
单选题,下列各项中（   ）不是基础隐蔽工程验收的主要内容。,C
单选题,实测检查法的手段，可归纳为（    ）四个字。,B
单选题,（   ）负责将工程设计图纸报送建设行政主管部门委托的有关审查机构进行审查。,A
单选题,满足使用目的的各种性能是指工程的（  ）。,C
单选题,"土工合成材料地基土工合成材料的强度（与设计标准值比较）允许值是（  ）,土工合成材料延伸率（  ） 。",B
单选题,热拌沥青混合料初压时，碾压应（  ）碾压，碾速稳定均匀。,A
单选题,（  ）是指按同一生产条件或按规定的方式汇总起来供检验用的，由一定数量样本组成 的检验体。,B
单选题,一般项目在验收时，绝大多数抽查的处（件）都必须达到要求，其余（   ）虽可以超过一定的指标，也是有限的，通常不能超过规定值的150%。,B
单选题,（  ）是划分沥青标号的主要指标。,A
单选题,地基基础分项工程检验批验收时，一般项目应有（    ）合格。,D
单选题,施工平面图中标注的尺寸只有数量没有单位，按国家标准规定单位应该是（   ）。,A
单选题,路堑开挖应从上而下进行，（   ）掏底开挖。,D
单选题,收到图纸后（    ）天内按用途发给项目各有关专业人员和施工班组。,B
单选题,图纸学习，依据工程规模大小图纸发放后（    ）个月内，由总工程师和或项目总工组织项目管理人员学习、了解建设规模、设计意图及质量和技术标准，明确工艺流程等。,A
单选题,图纸会审记录及整理，会审（    ）天内会审记录清晰并经设计单位、发包人、监理和施工单位技术部门各方签字盖章。,C
单选题,施工单位应当将下列（     ）资料纳入危大方案档案管理。,D
单选题,隧道与相邻路基断面的宽度和高程差应在（）范围内调整。,B
单选题,选择施工方法应根据（  ）。,C
单选题,喷射混凝土的      强度不应小于10 MPa。（  ）,C
单选题,当洞口可能出现偏压时，应采取措施（  ）。,C
单选题,喷射作业应（  ）连续进行。,B
单选题,沿隧道设计断面轮廓线布置的周边眼间距误差不得大于（  ）。,A
单选题,喷射混凝土材料计量，一般应以质量计算，其允许误差为：砂与石料各为（  ）。,A
单选题,二次衬砌的施作时间为（  ）。,D
单选题,衬砌混凝土浇筑，台车前后混凝土高差不能超过      ， 左右混凝土高差不能超过（  ）,B
单选题,隧道围岩完整石质坚硬岩石个别突出部位最大欠挖值不大于      ，且每1㎡不大于（  ）,D
单选题,隧道施工控制测量的精度，应以（  ）衡量。,B
单选题,对明洞衬砌施工，下列论述正确的是（  ）。,A
单选题,二次衬砌一般在围岩变形量趋于稳定后施作，需满足水平收敛（拱脚附近7d平均值）小于（ ）mm/拱部下沉速度小于（ ） mm/d（）。,C
单选题,系统锚杆安装时应设置垫板，垫板应与（  ）密贴。,C
单选题,隧道超前地质预报按预报距离可分为长距离预报、中长距离预报和短距离预报，其预报距离分别为（  ）。,D
单选题,衬砌边墙混凝土每小时浇筑高度宜为（  ）。,B
单选题,变形缝嵌填时，缝内应清洁、干燥，嵌填 （  ）。,B
单选题,岩溶隧道衬砌施工前，应检查隧道初期支护密实度，探查周边、隧底      范围内是否存在溶腔（  ）,A
单选题,隧道贯通后，施工中线及高程的实际贯通误差，应在未衬砌的地段调整（  ）,C
单选题,隧道施工是指修建（  ）。,A
单选题,控制测量的精度应以中误差衡量，最大误差(极限误差)规定为中误差的（  ）。,A
单选题,隧道明洞施工当具备相应的机具条件时可采用（  ）。,B
单选题,加强对地表下沉、拱部下沉的量测及反馈，以指导施工，量测频率宜为深埋段的（  ）,B
单选题,插入式振捣棒每次插点移动距离应不大于振捣棒作用半径的      。（  ）,A
单选题,防水板搭接宽度不应小于（  ）,C
单选题,仰拱及填充混凝土脱模后应养护不少于    ，宜采用覆盖保湿养护。（  ）,B
单选题,仰拱施工应当结合拱墙施工抓紧进行（  ）,A
单选题,二次衬砌混凝土其强度达到2.5MPa时 （  ）,A
单选题,长隧道设置的精密三角网或精密导线网，应定期对其      进行校核。（  ）,C
单选题,洞口开挖土石方进洞前应尽早完成（  ）,D
单选题,明洞衬砌施工在灌注混凝土前应复测（  ），衬砌不得侵入设计轮廓线。,C
单选题,防水板搭接缝应与施工缝错开（  ）,B
单选题,溜槽出料口距混凝土浇筑面的高度不应超过（  ）,B
单选题,爆破开挖一次进尺应根据围岩条件确定，开挖软弱围岩时应控制在（  ）,B
单选题,锚杆安装作业应在 （  ）及时进行,B
单选题,喷射混凝土、砂浆所用水泥标号不得低于（  ）号,B
单选题,施工缝距预留孔洞边缘不应小于（  ）mm,D
单选题,关于隧道施工通风、防尘、防有害气体，下列叙述错误的是（  ）,D
单选题,隧道工程超挖处处理方法是（  ）,C
单选题,小导管注浆顺序为（  ）、浆液先稀后浓。,B
单选题,以下关于注浆堵水说法错误的是 （  ）,D
单选题,锚喷支护实测项目不包括（  ）,D
单选题,下列不属于隧道一般采用的开挖方法是 （  ）,D
单选题,止水条的搭接长度不应小于（  ）mm,D
单选题,中埋式止水带位置距离衬砌内表面不应小于      mm，径向位置允许偏差      mm，埋深允许偏差为± （  ）mm,D
单选题,用固定点铺设的防水板，固定点间距拱部宜为（  ）m，边墙宜为（） m,A
单选题,防水混凝土结构表面的裂缝宽度不应大于（  ）mm，并不得贯通,A
单选题,隧道监控量测时，围岩变形测点应安设在距开挖面不大于（  ） m的范围内,B
单选题,以下混凝土性能中不属于混凝土耐久性的是（  ）,D
单选题,"钢筋焊接接头在受弯构件的受拉区不应大于（  ）,轴心受拉构件不应大于（  ）",C
单选题,"钢筋机械连接接头的受弯构件不应大于（  ） ,轴心受拉构件不应大于（  ）",C
单选题,全断面开挖进行爆破和分部开挖采用预留光面层的周边眼起爆，不应采用（  ）起爆,B
单选题,隧道综合接地系统中，（  ）不能作为综合接地体,B
单选题,二次衬砌混凝土与防水层之间应 （  ），高寒区隧道衬砌结构与围岩间不得有空洞,C
单选题,隧道内洞室铺设塑料防水板时，铺设顺序是（  ）,A
单选题,隧道洞内爆破作业，爆破后，必须经过通风排烟（  ）， 以后检查人员方可进入工作面检查。（  ）,B
单选题,管棚钢管接头应采用丝扣连接，同一断面内的钢管接头数不大于钢管总数量的（  ）,B
单选题,隧道二衬施工距掌子面距离为：Ⅰ、Ⅱ级围岩不超过（  ） m，Ⅲ级围岩不超过（  ） m，Ⅳ级以上围岩不超过（  ） m或根据设计要求,A
单选题,喷射混凝土终凝后（  ）h内不得进行爆破作业,C
单选题,二次衬砌混凝土结构表面的非受力裂缝最大宽度不得大于（  ）。,A
单选题,仰拱（含填充）或底板混凝土强度达到      后行人方可通行，达到设计强度的      ，且不破坏混凝土时，车辆方可直接通行。（  ）,B
单选题,隧道监控量测时，当位移-时间曲线出现反弯点时，则表明围岩。（  ）,C
单选题,隧道通风管的安装应做到平顺、接头严密，且弯管半径不小于风管直径的      倍。（  ）,C
单选题,在炸药库区周围应设密实围墙，围墙到最近库房墙脚的距离不得小于      ，围墙高度不得低于      ；库区值班室应布置在围墙外侧距围墙不小于      的地方。（  ）,B
单选题,施工过程中应对职工加强      ，在推广新技术和使用新型机械设备时，应对职工进行再培训和安全教育。（  ）,B
单选题,隧道工程施工防水应以      自防水为主体，应以施工缝、变形缝防水为重点，并应重视      的防水，辅以注浆防水和防水层加强防水，满足结构使用功能。（  ）,B
单选题,缓冲层(土工布)接缝搭接宽度不得小于      mm，缓冲层应平顺、密贴，无皱褶。（  ）,B
单选题,明洞拱部回填应两侧对称分层夯实，每层厚度不大于      ，两侧回填土面的高差不得大于      。（  ）,A
单选题,以下不是超前地质预测、预报目前常用的方法是      。（  ）,D
单选题,（）是最直观、可靠的超前预报手段，通过分析可以判断地层变化、岩性差异、地层含水量等信息。,C
单选题,隧道的开挖应采取一切措施保护围岩的自承能力，主要采取光面爆破、预裂爆破或非爆破的机械辅助开挖方法，那么拱部宜采用。（  ）,A
单选题,冬季施工混凝土强度未达到（）前，不得受冻。,B
单选题,隧道喷射混凝土在气温低于（）时不得喷水养护,C
单选题,地表加固正在注浆的区域，其附近（）以内不得进行爆破。,B
单选题,隧道综合接地系统中，在通信信号槽底部每隔      两侧各设置1个接地端子，在通信信号槽侧壁每隔      两侧各设置1个接地端子。（）,C
单选题,喷射混凝土养护时间在      。（  ）,C
单选题,铺设卷材防水层时，搭接宽度      ，上下两层接缝应相互错开1/3幅度。（  ）,B
单选题,衬砌混凝土应左右对称分层连续浇筑，分层松铺厚度不宜大于cm。（  ）,C
单选题,根据验收标准的要求，光面爆破或预裂爆破的炮眼痕迹保存率，硬岩和中硬岩的要求为（），并在开挖轮廓面上均匀分布。,B
单选题,钢筋检验以同牌号、同炉号、同规格、同交货每 （）吨为一个检验批,C
单选题,钢筋网搭接长度应为 （）个网格，应与锚杆或其他固定装置连接牢固,A
单选题,支护采用双层钢筋网时，第二层钢筋网应在第一层钢筋网被砼覆盖后铺设，其覆盖厚度不应小于（）cm,A
单选题,隧道掘进长度超过（） m时，必须采用机械通风,C
单选题,对隧道净空的检查要求是  （  ）,B
单选题,夏季高温时浇筑混凝土应加快浇筑速度，混凝土入模温度不宜高于（） ℃。,B
单选题,隧道平面控制测量，每个洞口应测设不少于（）个平面控制点。,B
单选题,周边眼与辅助眼的眼底应在同一垂直面上，掏槽眼应加深（）cm,B
单选题,隧道施工通风应能提供洞内各项作业所需的最小风量，每人应供应新鲜空气      m3/min。（  ）,B
单选题,当采用环形开挖预留核心土法施工时，核心土面积不应小于整个断面的      。（  ）,C
单选题,隧道高程控制测量，每个洞口应测设不少于      个高程控制点。（）,A
单选题,先张法预应力混凝土梁的预应力是通过      来传递并保持的。（  ）,C
单选题,路面水泥混凝土与结构混凝土相比，在配合比设计过程中还应对混凝土的      提出要求。（  ）,D
单选题,混凝土施工过程中，为防止混凝土离析其自由倾落高度不宜超过。（  ）,C
单选题,钻孔灌注桩水下砼灌注时，灌注时间不得      首批砼的初凝时间。（  ）,C
单选题,桥梁设计和施工中，要进行强度、刚度和稳定性验算，这刚度是指。（  ）,C
单选题,混凝土裂缝深度常用的无损检测方法是      。（  ）,D
单选题,当桩身浅部存在缺陷时，可采用      方法进行验证 。（  ）,A
单选题,下列属于土方路基关键实测项目的是      。（  ）,A
单选题,以下      属于桥梁工程的分项工程。（  ）,D
单选题,大体积混凝土常用外加剂是      。（  ）,B
单选题,水泥混凝土立方体试块标准尺寸是      。（  ）,B
单选题,导线的角度闭合差的调整方法是将闭合差反符号后      。（  ）,B
单选题,原地面坡度陡于1:5时，应自下而上挖台阶，并整平碾压，沿线路横向挖台阶的宽度、高度应符合设计要求，沿线路纵向挖台阶的宽度不应小于      。（  ）,C
单选题,堆载预压填筑过程中应同步进行地基沉降与土的      观测。（  ）,A
单选题,粉体喷射搅拌桩成桩长度及复搅长度应满足设计要求。喷粉中断时，第二次喷粉接桩的喷粉重叠长度不得小于      。（  ）,B
单选题,浆体喷射搅拌桩成桩过程中，如因故停浆，继续施工时必须重叠接桩，接桩长度不得小于      若停机超过3h，应拆卸输浆管路，清洗干净，在原桩位旁边补桩。（  ）,A
单选题,CFG桩顶端浮浆应清除干净，直至露出新鲜混凝土面。清除浮浆后桩的有效长度应满足      。（  ）,C
单选题,打入桩的混凝土应达到吊运要求强度，且不得低于设计强度的后，方可吊运，达到设计强度方可使用。（  ）,C
单选题,当路基各段不同步填筑时，纵向接头处应在已填筑压实基础上挖出硬质台阶，台阶宽度不宜小于      ，高度同填筑压实层厚。（  ）,C
单选题,基床以下路堤填筑中，每一水平层的全宽应用同一种填料填筑，每种填料压实累计总厚不宜小于      。（  ）,B
单选题,基床以下路堤填筑中，采用碎石类土和粗砾土填料的最大粒径不宜大于      。（  ）,B
单选题,碾压时，纵向行与行之间的轮迹重叠不小于      。（  ）,C
单选题,改良土填料应分层填筑压实，每层填筑压实厚度不宜超过（  ）,B
单选题,路堤边坡宜采用加宽超填或专用边坡压实机械施工，当采用加宽超填方法时，超填宽度不宜小于（ ）,C
单选题,加筋土填筑过程中      直接在土工合成材料上行走作业。(  ),A
单选题,基床以下路堤每一填筑层全宽      填筑。（ ）,A
单选题,路堤填筑过程中昼夜平均气温在0℃以下，且连续      天，应按低温施工办理。（  ）,C
单选题,"混凝土自然养护时,混凝土强度达到      MPa以前，不得在其上踩跳或安装模板支架。（  ）",A
单选题,"大体积混凝土应提前养护,且养护时间不应少于      天。（  ）",B
单选题,当运至现场的混凝土发生离析现象时，应在浇筑前对混凝土进行二次搅拌，但      。（  ）,A
单选题,预应力砼梁施工技术要求高，下列说法正确的是      。（  ）,C
单选题,关于公路工程质量评分方法的说法，错误的是      。（  ）,D
单选题,挖石方路基检查的一般项目有纵断高程、中线偏位、宽度和      。（  ）,D
单选题,分部工程应由      组织施工单位项目负责人和技术质量负责人等进行验收。（  ）,B
单选题,挖方路基中路床顶面以下0-30cm深度内城市快速路、主干路，次干路，支路及其它小路压实度分别为      。（  ）,A
单选题,涵洞位于路基范围内时，其顶部以上      cm范围内不得用压路机压实。（  ）,C
单选题,土方路基路床质量检验中，主控项目包括：      。（  ）,C
单选题,在路基宽度内，每层虚铺厚度应视压实机具的功能确定，人工夯实虚铺厚度应      。（  ）,C
单选题,热拌沥青混合料初压时，碾压应      碾压，碾速稳定均匀。（  ）,B
单选题,适用任何场合和层次、各个等级的路面用沥青是      。（  ）,C
单选题,填石路堤施工时石料规格不一、性质不匀或就地爆破堆积，乱石中空隙很大，最有可能造成      。（  ）,C
单选题,换填法可采用的垫层材料不可以是      。（  ）,B
单选题,液限大于      的土，不得直接作为路堤填料。（  ）,B
单选题,塑性指数大于      的土，不得直接作为路堤填料。（  ）,C
单选题,下列情况中应洒布透层沥青的是      。（  ）,A
单选题,路堤填料粒径应不大于      ，并宜不超过层厚的2/3。（  ）,D
单选题,路堤填筑期间，作业面应设      的排水横坡表面不得积水。边坡应采取临时排水措施。（  ）,B
单选题,沥青混合料拌和时间根据具体情况经试拌确定，以沥青均匀裹覆集料为度，间歇式拌和机每盘的生产周期不宜少于      。（  ）,B
单选题,当沥青混凝土路面的磨耗层损坏较小，出现轻度车辙、龟裂等病害时，其最适合采用      修复。（  ）,B
单选题,沥青混凝土的压实层最大厚度不宜大于      。（  ）,C
单选题,以下关于柔性路面和刚性路面的说法错误的是      。（   ）,B
单选题,透层泊的粘度通过调节稀释剂的用量或乳化沥青的浓度得到适宜的粘度，基质沥青的针入度通常宜不小于      。（  ）,A
单选题,雨期填筑路堤需借土时，取土坑距离填方坡脚不宜小于      m。（）,D
单选题,路面工程中，粒料基层完工后应及时洒布透层油并铺筑封层，透层油透入深度应不小于      mm，无机结合料稳定材料基层透层油透入深度宜不小于3mm。（  ）,C
单选题,稳定粒料基层和底基层表面连续离析不得超过      m。（  ）,A
单选题,关于路基网状裂缝原因的说法，错误的是      。（  ）,D
单选题,关于沥青混凝土路面施工时选用沥青的说法，不正确的是      。（）,D
单选题,现浇混凝土应在浇筑完毕后的     h内加以覆盖并浇水。（  ）,C
单选题,对于路基基层碾压要遵循      。（  ）,B
单选题,为保证沥青路面接缝的质量，下列说法错误的是      。（  ）,B
单选题,影响混凝土强度的决定性因素是      。（  ）,C
单选题,桥涵台背后结构物回填时，应选用      回填材料。（  ）,A
单选题,路堑开挖应自上而下纵向、水平分层开挖，纵向坡度不得小于，严禁掏底开挖。（  ）,D
单选题,灌注水下混凝土过程中，若出现堵管现象，应采用      的处理方法。（  ）,B
单选题,预应力管道压浆时，在      温度下时，应采取防冻或保温措施。（）,C
单选题,软土地基的工程特性是      。（  ）,B
单选题,下列路基工程可安排冬期施工的是      。（  ）,A
单选题,钻孔灌注桩的护筒顶宜高于地面      。（  ）,B
单选题,自高处向模板内直接倾卸混凝土，其自由倾落高度不宜超过      。（  ）,C
单选题,采用插入式振动器振捣混凝土时，与侧模应保持      的距离，且插入下层混凝土中的深度宜为50-100mm。（  ）,A
单选题,冬季施工时，混凝土拌合物的入模温度不低于      。（  ）,A
单选题,为确保桩顶混凝土质量，灌注的桩顶高程高出不小于      。（  ）,A
单选题,挖孔桩护圈应高出地面不小于      ，并设置临时排水沟，防止地表水流入孔内。（  ）,C
单选题,涵洞施工完成后，砌体砂浆或混凝土强度达到设计强度的      时，方可进行涵洞洞身两侧的回填。,C
单选题,采用插入式振动器浇筑混凝土时，分层浇筑的厚度不宜超过（  ）mm,C
单选题,桥梁桩基桩头凿除应采用      凿除。（  ）,A
单选题,大体积混凝土的振捣棒振捣，要做到      。（  ）,B
单选题,土工膜袋护坡的侧翼宜设( )。,B
单选题,无机结合料稳定土的无侧限抗压强度试验的试件为( )。,B
单选题,泵送混凝土中不适合采用的外掺剂或掺合料是( )。,B
单选题,钻孔灌注桩施工中埋设护筒，不属于护筒作用的是( )。,D
单选题,钢材焊接拉伸试验，一组试件有2根发生脆断，应再取      根进行复验。（  ）,C
单选题,预应力混凝土配筋用钢绞线是由      根圆形截面钢丝绞捻而成的。（  ）,C
单选题,关于击实试验法测定最佳含水量的说法，错误的是( )。,B
单选题,高强度混凝土每立方米水泥掺和量应( )。,A
单选题,二次衬砌中的“刹尖”指的是      。（  ）,C
单选题,关于圆管涵施工要求的说法，正确的是( )。,B
单选题,关于钢筋加工场的说法，错误的是( )。,B
单选题,下列后张法预应力筋质量检验的实验项目中，属于关键项目的是( )。,C
单选题,中砂的细度模数MX为      。（  ）,B
单选题,填石路基采用强力夯实施工时，填补夯坑的填料应选用( )。,D
单选题,关于填隙碎石施工的说法，错误的是( )。,C
单选题,无机结合料稳定材料组成设计流程正确的是( )。,D
单选题,关于桥梁桩基础使用冲击钻成孔的说法，正确的是( )。,C
单选题,下列隧道现场监控量测项目中，属于必测项目的是( )。,C
单选题,下列水泥稳定粒料基层质量检验的实测项目中，属于关键项目的是()。,B
单选题,钢筋混凝土结构构造裂缝形成原因不包括( )。,D
单选题,关于加筋土挡土墙施工要求的说法，错误的是( )。,C
单选题,无机结合料稳定土基层摊铺完成后，紧跟摊铺机及时碾压的设备宜选用( )。,D
单选题,沥青层用粗集料包括碎石、破碎砾石、筛选砾石、钢渣、矿渣等，但高速公路和一级公路不得使用      。（  ）,C
单选题,关于隧道水害防治措施的说法，错误的是( )。,D
单选题,挖孔桩孔内有岩层需要爆破时，应采用      爆破。(   ),C
单选题,三级公路修筑沥青混凝土时，其路基压实度应采用     标准。（  ）,B
单选题,软土地区路堤填筑时，在软土层顶面铺砂垫层的主要作用是( )。,A
单选题,沥青路面透层施工中，透层油洒布后待充分渗透，一般不少于( )h后才能摊铺上层。,B
单选题,桥梁浅挖基坑施工中，当土质较差且有较严重流沙现象时，宜采用() 排水。,A
单选题,预应力混凝土施工，强度达到设计强度的（）时，可放张或张拉。,B
单选题,后张法施工，预应力张拉完毕后（）h内进行孔道压浆，否则应采取防锈措施。,D
单选题,大体积混凝土温度控制时，内部最高温度不超过（），内外温差不大于（）。,B
单选题,大体积混凝土进行质量评定时，可按（）D临期的抗压强度控制。,D
单选题,目前，回弹弯沉最常用的测试方法是      。（  ）,B
单选题,土的强度性质通常是指土体的        。（  ）,C
单选题,当水泥土强度没有分形成时，表面遇水会软化导致沥青面层      。（ ）,C
单选题,（  ）是划分沥青标号的主要指标。,A
单选题,钢筋工程施工中，当钢筋受力不明确时应按        处理。（   ）,A
单选题,泥浆护壁桩在施工期间护筒内的泥浆面应高出地下水位     以上，在受水位涨落影响时，泥浆面应高出最高水位     以上。（    ）,C
单选题,下列属于悬臂浇筑主控项目的是        。（    ）,C
单选题,表征沥青路面材料稳定性能的路面使用指标的是       。（    ）,B
单选题,在移动模架上浇筑预应力混凝土连续梁时，浇筑分段施工缝应设在零点附近。(     ),B
单选题,路基过渡段级配碎石填筑时，级配碎石中针状和片状碎石含量应不大于     。（    ）,D
单选题,关于桥梁悬臂浇筑法施工的说法，错误的是        。（    ）,A
单选题,关于钢梁施工的说法，正确的是        。（    ）,D
单选题,钢筋弯折的弯弧内直径应符合下列规定：光圆钢筋，不应小于钢筋直径的（  ）倍 400PMa级带肋钢筋，不应小于钢筋直径的(   )倍。,D
单选题,预应力筋进场时，应按国家现行相关标准的规定抽取试件作（  ）、伸长率检验，其检验结果应符合相应标准的规定。,A
单选题,结构混凝土取样与试件留置，当一次连续浇筑超过1000m3时，同一配合比的混凝土每（  ）m3取样不得少于一次。,C
单选题,混凝土强度检验时的等效养护龄期可取日平均温度逐日累计达到600℃·d时所对应的龄期，且不应小于（  ）天。,B
单选题,开挖深度超过（ ）m（含选项）的基坑（槽）的土方开挖工程属于危险性较大的分部分项工程。,B
单选题,落地式钢管脚手架工程搭设高度超过（ ）m时，应当编制专项施工方案。,B
单选题,关于喷锚暗挖法二衬混凝土施工的说法，错误的是       。（    ）,D
单选题,搭设高度（ ）m及以上的落地式钢管脚手架工程属于超过一定规模的危险性较大的分部分项工程。,C
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）组织编制试验计划,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，（ ）审批试验计划,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，不合格试验由（ ）制定处置措施,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规 定，公路工程、铁路工程项目工地试验室组织内部验收由（）审批,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，C40以下水泥混凝土配合比由（）审批,B
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，C40及C40以上水泥混凝土配合比由（）审批,A
单选题,根据《A类基础设施业务管理手册》CSCEC83-IPC-2022相关规定，无机结合料、沥青混合料配合比由（）审批,A
单选题,根据《科技质量管理手册》CSCEC83-TQ-2022相关规定，施工现场抽取或制作的试件应有唯一性标识，同条件试件后缀为（）,B
单选题,根据《科技质量管理手册》CSCEC83-TQ-2022相关规定，计量设备的送外检定和自检，（）应按周期检定计划,C
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，考核评价分为（）类,C
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，考核评价（）分为优秀,A
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，考核评价（）分为合格,C
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，考核评价（）分为不合格,A
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，项目部每（）开展1次考核活动,A
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，二级单位每（）开展1次考核活动,B
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，试验检测机构等级证书要求公路工程必须满足综合（）及以上或相应专项类资质,B
单选题,根据《中建八局第三建设有限公司公路水运工程项目母体检测机构、工地试验室考核评价办法》，公路水运工程质量试验检测管理信息系统近三年信用等级必须满足（）及以上等级,B
单选题,试样应按照（    ）时间顺序连续编号。,D
单选题,水泥或石灰剂量测定中，从加入钙红指示剂、滴定过程、滴定达到终点时的溶液颜色的变化过程（）,B
单选题,CMA是（    ）的英文缩写,B
